,county,state,2020 Democrat vote raw,2020 Democrat vote %,2020 Republican vote raw,2020 Republican vote %,2020 other vote raw,2020 other vote %,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Median income (dollars),Mean income (dollars),Area in square Km,Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,NH-American Indian and Alaska Native percentage,NH-Asian percentage,NH-Native Hawaiian and Other Pacific Islander percentage,NH-Some Other Race percentage,NH-Two or More Races percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation
"Allendale County, South Carolina",Allendale County,SouthCarolina,2718,75.65,835,23.24,40,1.11,3.70%,17.50%,41.90%,18.90%,7.30%,6.20%,4.60%,0.4674,"37,096","49,046",1056.96,7.64,8039,2.41,24.69,70.23,0.56,0.21,0.01,0.16,1.72,30.25,19.66,18.14,8.16,23.8
"Anderson County, South Carolina",Anderson County,SouthCarolina,27169,28.27,67565,70.31,1359,1.41,3.40%,9.40%,30.20%,19.20%,11.60%,16.40%,9.70%,0.4689,"62,347","84,294",1848.88,110.66,203718,4.7,74.81,14.83,0.21,1.18,0.02,0.34,3.91,36.66,15.33,19.4,8.69,19.92
"Bamberg County, South Carolina",Bamberg County,SouthCarolina,4010,61.86,2417,37.29,55,0.85,6.40%,16.30%,30.80%,17.30%,11.40%,10.00%,7.90%,0.4799,"43,920","58,375",1018.82,13.07,13311,1.06,37.64,58.22,0.19,0.5,0,0.27,2.13,23.32,15.45,18.62,10.73,31.89
"Barnwell County, South Carolina",Barnwell County,SouthCarolina,4720,45.73,5492,53.21,109,1.06,7.30%,9.90%,39.30%,16.80%,12.30%,9.10%,5.30%,0.4725,"42,470","59,440",1420.29,14.54,20589,2.53,50.28,42.67,0.3,0.78,0.07,0.28,3.1,23.29,23.33,20.15,9.51,23.72
"Beaufort County, South Carolina",Beaufort County,SouthCarolina,43419,44.38,53194,54.37,1222,1.25,2.10%,4.30%,21.30%,20.40%,8.50%,24.90%,18.50%,0.4782,"81,260","1,15,345",1491.89,126.73,187117,12.51,67.71,14.72,0.19,1.27,0.06,0.36,3.17,38.05,19.76,22.59,9.39,10.21
"Berkeley County, South Carolina",Berkeley County,SouthCarolina,45223,43.29,57397,54.95,1838,1.76,3.10%,6.90%,28.80%,22.60%,10.30%,18.30%,10.00%,0.4299,"77,874","97,057",2858.66,80.95,229861,8.84,59.97,22.53,0.45,2.33,0.08,0.75,5.06,36.16,15.54,22.01,11.56,14.73
"Calhoun County, South Carolina",Calhoun County,SouthCarolina,3905,47.1,4305,51.92,81,0.98,5.90%,7.60%,34.90%,19.90%,12.70%,12.60%,6.50%,0.4729,"55,550","72,720",987.18,14.33,14119,3.45,55.12,37.97,0.44,0.19,0.04,0.21,2.57,35.25,16.3,22.76,7.89,17.8
"Charleston County, South Carolina",Charleston County,SouthCarolina,121485,55.51,93297,42.63,4075,1.86,2.10%,5.00%,19.50%,16.90%,8.40%,29.60%,18.40%,0.5142,"78,795","1,19,687",2377.7,172.37,408235,7.17,64.56,22.47,0.21,1.83,0.08,0.38,3.3,47.94,16.33,19.48,7.43,8.82
"Cherokee County, South Carolina",Cherokee County,SouthCarolina,6983,27.63,18043,71.4,244,0.97,4.00%,10.80%,37.70%,20.30%,10.00%,10.20%,7.00%,0.4753,"47,011","65,759",1017.77,55.22,56216,4.94,70.4,20.09,0.29,0.61,0.02,0.35,3.31,27.81,19.18,17.7,10.89,24.41
"Chester County, South Carolina",Chester County,SouthCarolina,6941,44.05,8660,54.96,156,0.99,3.60%,11.30%,41.40%,20.30%,9.70%,8.70%,5.20%,0.4456,"50,022","64,095",1503.91,21.39,32294,2.46,57.57,34.95,0.45,0.45,0.04,0.41,3.66,22.67,20.66,19.31,9.83,27.54
"Chesterfield County, South Carolina",Chesterfield County,SouthCarolina,7431,39.37,11297,59.85,148,0.78,6.10%,12.50%,40.10%,19.50%,8.90%,8.10%,4.80%,0.4662,"46,326","64,325",2069.36,21.04,43273,4.82,59.69,30.39,0.43,0.62,0.01,0.27,3.77,23.92,18.21,15.75,13.76,28.35
"Clarendon County, South Carolina",Clarendon County,SouthCarolina,8250,49.3,8361,49.97,122,0.73,4.40%,14.70%,36.70%,20.10%,7.50%,10.70%,5.80%,0.4821,"48,677","65,427",1572.66,19.82,31144,2.91,49.16,44.38,0.39,0.72,0.03,0.23,2.19,26.98,19.22,23.65,12.68,17.47
"Colleton County, South Carolina",Colleton County,SouthCarolina,8602,44.61,10440,54.14,241,1.25,3.70%,10.10%,40.60%,18.80%,11.10%,10.30%,5.40%,0.4564,"46,795","64,470",2736.29,14.09,38604,3.57,56.51,34.71,0.78,0.48,0.04,0.26,3.63,26.48,16.7,22.19,17.78,16.85
"Darlington County, South Carolina",Darlington County,SouthCarolina,15220,46.95,16832,51.92,365,1.13,4.70%,9.60%,36.70%,19.00%,11.00%,11.90%,7.10%,0.5033,"44,317","69,693",1451.99,43.41,62905,2.22,53.77,40.36,0.22,0.46,0.01,0.2,2.77,31.44,16.96,21.42,7.29,22.89
"Dillon County, South Carolina",Dillon County,SouthCarolina,6436,49.13,6582,50.24,83,0.63,6.50%,15.20%,42.30%,16.20%,8.00%,7.00%,4.90%,0.4811,"42,454","56,391",1049.14,26.93,28292,3.03,45.9,44.92,2.13,0.22,0,0.27,3.53,21.17,16.39,23.85,12.17,26.43
"Dorchester County, South Carolina",Dorchester County,SouthCarolina,33824,43.77,41913,54.24,1541,1.99,2.80%,6.50%,25.40%,24.20%,11.60%,19.20%,10.20%,0.4267,"73,686","95,551",1472.17,110.14,161540,6.72,61.37,23.7,0.55,2.03,0.12,0.49,5.01,39.19,15.07,21.17,9.65,14.93
"Edgefield County, South Carolina",Edgefield County,SouthCarolina,4953,37.23,8184,61.52,167,1.26,4.80%,12.20%,34.70%,18.40%,10.00%,11.80%,8.00%,0.4628,"60,033","79,001",1296.78,20.19,25657,5.34,58.03,32.35,0.26,0.46,0.02,0.36,3.16,29.29,17.59,18.4,14.7,20.02
"Fairfield County, South Carolina",Fairfield County,SouthCarolina,7382,60.83,4625,38.11,129,1.06,3.70%,12.20%,39.60%,21.00%,8.90%,9.10%,5.70%,0.4942,"44,521","68,680",1777.52,11.78,20948,2.02,40.59,53.47,0.31,0.48,0.03,0.26,2.84,29.84,17.34,20.31,7.9,24.61
"Florence County, South Carolina",Florence County,SouthCarolina,31153,48.29,32615,50.56,742,1.15,3.40%,9.30%,33.40%,18.90%,11.20%,14.80%,8.90%,0.4845,"56,088","76,763",2073.3,66.09,137059,3.12,50.36,41.5,0.24,1.68,0.04,0.27,2.79,35.05,17.04,22.93,9.05,15.92
"Georgetown County, South Carolina",Georgetown County,SouthCarolina,15822,43.15,20487,55.87,359,0.98,2.50%,6.70%,27.00%,22.20%,10.60%,19.40%,11.60%,0.4938,"59,782","88,858",2107.22,30.18,63404,3.51,64.96,28.47,0.18,0.41,0.04,0.21,2.23,33.49,24.68,20.21,8.47,13.15
"Greenville County, South Carolina",Greenville County,SouthCarolina,103030,39.91,150021,58.11,5104,1.98,3.30%,6.60%,22.90%,18.70%,9.10%,24.90%,14.40%,0.4721,"71,328","99,692",2035.56,259.51,525534,11.04,65.44,16.58,0.17,2.45,0.08,0.45,3.8,42.32,14.67,21.21,7.61,14.2
"Greenwood County, South Carolina",Greenwood County,SouthCarolina,12145,37.95,19431,60.71,430,1.34,3.90%,9.20%,32.20%,17.20%,13.30%,15.60%,8.70%,0.4991,"47,553","71,476",1180.01,58.74,69351,6.85,58.58,30.02,0.15,0.98,0.06,0.27,3.1,31.67,16.8,18.13,9.24,24.15
"Hampton County, South Carolina",Hampton County,SouthCarolina,5323,57.21,3906,41.98,76,0.82,7.00%,12.00%,43.40%,17.90%,8.00%,7.20%,4.30%,0.4439,"40,157","55,601",1450.33,13.02,18561,3.59,42.03,51.38,0.22,0.54,0.09,0.22,1.93,25.33,25.21,16.52,12.43,20.51
"Horry County, South Carolina",Horry County,SouthCarolina,59180,32.92,118821,66.11,1743,0.97,2.60%,5.90%,32.50%,23.20%,10.60%,16.40%,8.90%,0.4476,"59,880","80,054",2934.87,121.5,351029,6.92,75.7,11.21,0.33,1.3,0.09,0.41,4.03,31.63,23.08,25.27,10.41,9.61
"Jasper County, South Carolina",Jasper County,SouthCarolina,7185,49.92,7078,49.17,131,0.91,3.20%,7.00%,36.90%,19.90%,9.70%,16.90%,6.30%,0.4598,"60,452","75,441",1696.79,17.35,28791,17.64,45.35,33.2,0.2,0.65,0.08,0.38,2.5,23.65,20.73,28.26,15.27,12.08
"Kershaw County, South Carolina",Kershaw County,SouthCarolina,12699,37.76,20471,60.87,459,1.36,3.40%,7.70%,34.20%,22.90%,10.50%,12.90%,8.50%,0.4363,"61,343","76,744",1881.92,34.95,65403,5.3,66.34,23.06,0.22,0.64,0.04,0.37,4.02,34.28,17.07,19.52,10.78,18.34
"Lancaster County, South Carolina",Lancaster County,SouthCarolina,18937,37.97,30312,60.78,619,1.24,3.80%,7.20%,28.20%,19.70%,11.10%,19.40%,10.70%,0.4587,"72,186","97,132",1422.27,68.63,96016,6.56,67.62,19.89,0.23,1.84,0.01,0.35,3.5,39,12.97,21.68,8.99,17.36
"Laurens County, South Carolina",Laurens County,SouthCarolina,10159,33.32,20004,65.61,325,1.07,5.90%,11.40%,36.10%,18.10%,10.60%,11.90%,6.10%,0.4532,"52,077","69,159",1846.33,36.54,67539,6.14,65.68,23.6,0.21,0.44,0.04,0.35,3.55,27.27,19.88,19.49,10.97,22.39
"Lee County, South Carolina",Lee County,SouthCarolina,5329,63.21,3008,35.68,94,1.11,6.00%,12.80%,41.20%,18.20%,7.30%,9.10%,5.30%,0.4517,"39,099","51,559",1062.37,15.58,16531,1.78,34.61,60.82,0.3,0.21,0,0.09,2.2,23.6,17.71,20.64,11.77,26.28
"Lexington County, South Carolina",Lexington County,SouthCarolina,49301,34.1,92817,64.2,2450,1.69,2.80%,5.90%,26.60%,21.50%,10.60%,20.60%,12.00%,0.4322,"71,280","91,269",1810.41,163.46,293991,7.41,71.04,14.42,0.3,2.26,0.06,0.37,4.13,40.16,14.52,22.21,10.32,12.79
"Marion County, South Carolina",Marion County,SouthCarolina,8872,60.34,5711,38.84,121,0.82,4.60%,10.90%,50.00%,13.20%,7.60%,8.60%,5.10%,0.4977,"35,972","51,542",1267.47,23.05,29183,2.43,37.97,55.97,0.37,0.44,0,0.14,2.68,26.48,16.69,19.1,11.1,26.63
"Marlboro County, South Carolina",Marlboro County,SouthCarolina,6290,54.95,5044,44.07,112,0.98,5.20%,14.50%,49.60%,15.40%,7.10%,5.40%,2.90%,0.4941,"34,275","49,740",1242.87,21.39,26667,2.16,39.58,49.88,4.24,0.37,0.03,0.15,3.6,22.46,17.61,19.67,9.94,30.32
"McCormick County, South Carolina",McCormick County,SouthCarolina,2687,47.17,2958,51.92,52,0.91,5.10%,9.70%,34.10%,17.10%,12.70%,14.60%,6.70%,0.4599,"55,569","72,282",929.52,10.34,9526,1.29,54.12,41.11,0.28,0.38,0.02,0.34,2.47,35.8,20.38,17.81,8.76,17.25
"Newberry County, South Carolina",Newberry County,SouthCarolina,6958,37.35,11443,61.42,230,1.23,5.20%,9.30%,32.00%,18.70%,12.20%,13.40%,9.10%,0.4648,"56,706","76,846",1632.48,23.23,37719,8.76,60.01,27.47,0.28,0.36,0.01,0.19,2.92,32.71,18.71,16.5,9.67,22.42
"Oconee County, South Carolina",Oconee County,SouthCarolina,10414,25.61,29698,73.03,556,1.37,3.80%,9.20%,29.50%,18.90%,10.80%,16.50%,11.30%,0.4909,"56,710","82,716",1622.8,48.54,78607,5.58,82.3,6.51,0.22,0.75,0.02,0.23,4.38,35.24,17.88,17.52,11.14,18.21
"Orangeburg County, South Carolina",Orangeburg County,SouthCarolina,27295,66.24,13603,33.01,307,0.75,4.10%,11.70%,32.80%,18.50%,13.80%,10.20%,9.00%,0.4839,"41,020","56,740",2865.51,29.37,84223,2.34,32.99,60.32,0.55,1.06,0.04,0.24,2.46,27.05,19.9,19.5,10.07,23.49
"Pickens County, South Carolina",Pickens County,SouthCarolina,13645,23.71,42907,74.56,994,1.73,3.50%,9.40%,30.20%,18.50%,10.90%,14.90%,12.50%,0.4915,"57,628","80,800",1287.06,101.86,131404,5,81.62,6.41,0.23,2.07,0.03,0.32,4.32,38.27,18.48,18.22,10.17,14.87
"Richland County, South Carolina",Richland County,SouthCarolina,132570,68.4,58313,30.09,2939,1.52,2.10%,5.70%,21.40%,21.40%,9.20%,23.20%,17.00%,0.4898,"59,850","86,621",1961.42,212.17,416147,6.27,41.49,45.21,0.21,2.72,0.1,0.45,3.54,42.85,17.32,22.13,5.71,11.98
"Saluda County, South Carolina",Saluda County,SouthCarolina,2963,31.95,6210,66.96,101,1.09,7.30%,9.50%,37.60%,16.40%,10.00%,11.10%,8.10%,0.4458,"51,041","68,901",1172.51,16.16,18862,15.97,59.72,21.36,0.23,0.19,0,0.2,2.34,28.21,20.38,14.5,13.18,23.73
"Spartanburg County, South Carolina",Spartanburg County,SouthCarolina,52926,35.6,93560,62.94,2169,1.46,4.40%,7.70%,31.10%,21.10%,10.40%,15.50%,9.70%,0.4505,"61,955","81,483",2093.69,157.67,327997,8.45,65.38,19.38,0.21,2.49,0.06,0.34,3.69,31.98,16.28,20.9,9.56,21.28
"Sumter County, South Carolina",Sumter County,SouthCarolina,27379,55.97,21000,42.93,541,1.11,3.30%,7.90%,31.80%,23.10%,10.90%,13.70%,9.40%,0.4563,"53,970","70,528",1722.54,61.07,105556,4.08,44,45.98,0.32,1.33,0.08,0.3,3.92,32.01,18.15,21.36,9.85,18.62
"Union County, South Carolina",Union County,SouthCarolina,4935,37.23,8183,61.73,139,1.05,5.50%,12.90%,38.40%,19.00%,10.30%,10.30%,3.60%,0.4628,"42,305","59,118",1330.18,20.42,27244,1.61,63.42,30.96,0.21,0.29,0.01,0.18,3.33,24.24,17.8,17.85,9.82,30.29
"Williamsburg County, South Carolina",Williamsburg County,SouthCarolina,10289,64.37,5532,34.61,164,1.03,4.60%,12.40%,42.30%,16.60%,8.80%,8.80%,6.40%,0.4943,"40,848","54,311",2419.48,12.76,31026,2,32.19,63.11,0.27,0.47,0,0.2,1.77,26.27,17.65,22.94,11.73,21.42
"York County, South Carolina",York County,SouthCarolina,59008,40.96,82727,57.43,2315,1.61,2.50%,5.30%,24.00%,21.00%,10.40%,23.50%,13.40%,0.4386,"80,158","1,05,610",1763.87,160.44,282090,6.71,66.65,18.18,0.67,3.1,0.04,0.41,4.23,42.46,14,20.96,7.94,14.65
"Aurora County, South Dakota",Aurora County,SouthDakota,317,22.56,1052,74.88,36,2.56,4.60%,4.10%,36.80%,17.70%,18.60%,13.50%,4.80%,0.4523,"71,490","96,992",1834.9,1.41,2747,7.97,87.7,0.51,1.38,0.47,0,0,1.97,38.25,13.68,16.33,14.4,17.34
"Beadle County, South Dakota",Beadle County,SouthDakota,2107,29.76,4808,67.9,166,2.34,9.40%,5.50%,33.00%,16.50%,10.10%,16.60%,8.90%,0.4351,"63,813","81,214",3260.01,5.86,19149,14.31,69.82,0.74,1.27,10.8,0.3,0.15,2.62,31.22,12.73,16.82,11.32,27.91
"Bennett County, South Dakota",Bennett County,SouthDakota,466,39.39,694,58.66,23,1.94,3.00%,8.10%,34.60%,25.20%,10.70%,15.00%,3.30%,0.521,"44,821","66,336",3068.21,1.11,3381,2.57,29.49,0.21,60.93,0.21,0,0.06,6.54,38.31,17.42,15.77,12.1,16.41
"Bon Homme County, South Dakota",Bon Homme County,SouthDakota,721,24.03,2235,74.48,45,1.5,3.80%,7.30%,36.90%,19.50%,12.50%,13.90%,6.10%,0.4439,"57,554","76,866",1459.59,4.81,7003,1.67,87.96,1.51,6.5,0.16,0.07,0.09,2.04,35.58,17.34,16.05,12.41,18.62
"Brookings County, South Dakota",Brookings County,SouthDakota,6110,41.94,8000,54.92,457,3.14,1.10%,2.70%,23.20%,19.00%,11.60%,27.80%,14.60%,0.4052,"64,438","83,191",2051.83,16.88,34375,4.15,87.05,1.83,1.08,2.65,0.04,0.19,3.02,43.08,14.74,16.27,9.45,16.46
"Brown County, South Dakota",Brown County,SouthDakota,6538,37.26,10580,60.3,429,2.44,2.20%,4.10%,30.90%,18.20%,11.70%,24.10%,8.70%,0.4317,"70,379","87,751",4436.73,8.63,38301,4.33,85.39,1.4,2.88,2.4,0.11,0.25,3.24,34.95,17.24,19.91,11.84,16.06
"Brule County, South Dakota",Brule County,SouthDakota,673,27.03,1750,70.28,67,2.69,9.50%,4.80%,34.20%,15.50%,10.40%,19.40%,6.30%,0.4416,"64,821","84,452",2116.59,2.48,5247,2.02,82.71,0.53,9.43,0.5,0.1,0.11,4.59,36.68,19.92,17.55,12.75,13.09
"Buffalo County, South Dakota",Buffalo County,SouthDakota,352,64.12,183,33.33,14,2.55,1.10%,16.50%,44.20%,21.30%,10.10%,5.20%,1.60%,0.4712,"42,917","46,912",1220.93,1.52,1948,0.67,14.68,0,81.21,0.05,0,0,3.39,33.61,29.05,13.18,14.19,9.97
"Butte County, South Dakota",Butte County,SouthDakota,939,19.55,3731,77.7,132,2.75,4.00%,6.60%,37.80%,22.90%,10.50%,12.70%,5.50%,0.4706,"58,106","85,481",5827.5,1.78,10243,4,89.3,0.12,1.78,0.29,0.05,0.29,4.17,32.47,17.54,19.2,15.31,15.48
"Campbell County, South Dakota",Campbell County,SouthDakota,117,13.4,747,85.57,9,1.03,5.40%,7.40%,29.70%,20.80%,8.40%,25.00%,3.30%,0.468,"66,932","93,912",1900.21,0.81,1377,2.69,92.23,0,2.25,0.44,0,0,2.4,38.27,12.19,20.58,15.2,13.76
"Charles Mix County, South Dakota",Charles Mix County,SouthDakota,1177,31.11,2552,67.46,54,1.43,4.40%,6.10%,35.30%,15.80%,13.60%,18.60%,6.10%,0.4509,"60,729","76,768",2841.58,3.27,9373,2.43,61.03,0.16,32.12,0.33,0.15,0.03,3.74,41.08,18.68,19.93,12.18,8.13
"Clark County, South Dakota",Clark County,SouthDakota,437,23.62,1373,74.22,40,2.16,5.60%,3.20%,42.80%,20.70%,8.90%,15.70%,3.00%,0.5008,"59,340","92,044",2479.94,1.55,3837,4.4,93.12,0.31,0.52,0.05,0.05,0,1.54,41.52,16.44,19.05,12.38,10.6
"Clay County, South Dakota",Clay County,SouthDakota,3083,54.11,2456,43.1,159,2.79,1.90%,4.70%,28.30%,16.90%,8.10%,21.00%,19.00%,0.4772,"55,963","78,261",1067.13,14.01,14967,3.06,84.55,1.57,3.69,2.41,0.03,0.25,4.44,40.75,22.6,18.9,7.13,10.62
"Codington County, South Dakota",Codington County,SouthDakota,3837,29.15,8958,68.06,366,2.78,3.40%,4.80%,39.70%,17.90%,14.00%,14.10%,6.10%,0.434,"65,747","82,684",1780.84,15.95,28325,2.61,91.23,0.38,2.28,0.7,0.01,0.17,2.62,35.03,14.33,22,9.31,19.32
"Corson County, South Dakota",Corson County,SouthDakota,622,48.48,647,50.43,14,1.09,1.70%,12.10%,37.30%,18.00%,13.70%,13.90%,3.20%,0.4908,"48,125","64,048",6396.48,0.61,3902,1.18,24.53,0.15,69.25,0.51,0,0,4.38,53.71,11.97,14.59,9.78,9.95
"Custer County, South Dakota",Custer County,SouthDakota,1522,27.7,3852,70.11,120,2.18,3.00%,3.40%,32.30%,21.70%,9.10%,18.00%,12.50%,0.4457,"75,943","97,012",4032.46,2.11,8318,2.54,90.24,0.38,1.94,0.3,0,0.5,4.1,38.97,16.15,21.23,11.46,12.19
"Davison County, South Dakota",Davison County,SouthDakota,2648,31.32,5613,66.39,193,2.28,3.90%,5.80%,34.10%,21.20%,11.70%,18.50%,4.80%,0.45,"55,606","76,883",1128.29,17.7,19956,4.58,88.32,0.64,3.02,0.59,0,0.15,2.72,29.94,22.13,19.6,11.74,16.58
"Day County, South Dakota",Day County,SouthDakota,1052,35.49,1869,63.06,43,1.45,3.60%,4.90%,36.30%,18.50%,14.30%,16.70%,5.70%,0.4442,"57,558","78,591",2663.78,2.06,5449,2.81,84.33,0.06,9.84,0.35,0.07,0.02,2.53,37.99,13.8,19.6,15.37,13.24
"Deuel County, South Dakota",Deuel County,SouthDakota,609,25.91,1699,72.3,42,1.79,2.40%,4.80%,35.30%,21.00%,12.80%,19.30%,4.40%,0.381,"76,997","85,841",1612.89,2.66,4295,3.19,94.18,0.23,0.61,0.05,0.12,0.02,1.61,36.73,11.56,18.86,11.85,21
"Dewey County, South Dakota",Dewey County,SouthDakota,1131,57.53,790,40.18,45,2.29,1.50%,11.90%,38.60%,20.00%,10.10%,12.40%,5.50%,0.4334,"55,077","66,150",5963.13,0.88,5239,1.55,16.21,0.17,77.92,0.11,0,0.08,3.97,44.24,14.9,16.95,16.13,7.78
"Douglas County, South Dakota",Douglas County,SouthDakota,216,12.65,1468,86,23,1.35,3.50%,5.20%,36.10%,21.10%,13.60%,17.10%,3.50%,0.4533,"75,048","94,978",1118.36,2.52,2835,1.9,93.58,0.25,1.16,0.11,0.04,0.04,2.93,42.19,18.26,15.56,14.32,9.68
"Edmunds County, South Dakota",Edmunds County,SouthDakota,417,21.01,1538,77.48,30,1.51,4.80%,2.60%,31.20%,20.20%,13.00%,21.50%,6.70%,0.4716,"76,806","1,02,116",2916.28,1.38,3986,1.53,94.81,0.3,0.98,0.58,0,0,1.81,43.28,17.46,13.33,14.32,11.6
"Fall River County, South Dakota",Fall River County,SouthDakota,1053,26.05,2878,71.2,111,2.75,3.20%,5.30%,34.10%,24.60%,13.00%,11.90%,8.00%,0.4425,"54,886","69,946",4506.29,1.57,6973,2.58,85.07,0.5,5.61,0.67,0.16,0.42,4.99,36.25,27.6,11.14,13.93,11.07
"Faulk County, South Dakota",Faulk County,SouthDakota,198,16.75,964,81.56,20,1.69,3.50%,4.30%,29.70%,23.90%,16.50%,13.80%,8.40%,0.4527,"56,734","78,630",2542.63,0.84,2125,2.16,94.26,0.09,2.12,0.14,0,0.05,1.18,45.3,10.77,15.31,18.06,10.56
"Grant County, South Dakota",Grant County,SouthDakota,1056,28.2,2618,69.91,71,1.9,3.30%,5.00%,38.20%,16.60%,12.50%,16.40%,8.00%,0.458,"70,851","92,894",1764.94,4.27,7556,6.35,90.07,0,0.94,0.21,0.04,0.11,2.28,34.11,16.51,15.85,17.28,16.25
"Gregory County, South Dakota",Gregory County,SouthDakota,455,20.15,1771,78.43,32,1.42,2.40%,7.20%,38.50%,22.30%,10.50%,11.90%,7.20%,0.4579,"48,272","70,645",2628.71,1.52,3994,1.3,87.41,0.23,6.61,0.53,0.1,0.05,3.78,35.02,16.44,20.45,12.9,15.19
"Haakon County, South Dakota",Haakon County,SouthDakota,105,9.23,1026,90.24,6,0.53,0.20%,3.40%,47.00%,22.40%,10.30%,15.20%,1.50%,0.4851,"53,109","75,758",4689.28,0.37,1872,1.01,91.72,0.11,1.82,0.75,0.11,0.75,3.74,43.65,15.41,18.25,13.32,9.37
"Hamlin County, South Dakota",Hamlin County,SouthDakota,647,20.99,2372,76.94,64,2.08,5.30%,2.30%,39.70%,19.00%,11.80%,15.80%,6.10%,0.3633,"76,995","88,657",1313.17,4.72,6164,4.67,91.92,0.08,0.67,0.21,0.1,0.18,2.17,34.74,12.99,16.7,16.1,19.48
"Hand County, South Dakota",Hand County,SouthDakota,373,20.32,1433,78.05,30,1.63,4.70%,2.30%,29.00%,19.60%,19.10%,20.10%,5.20%,0.4526,"72,857","90,889",3720.86,0.83,3145,1.56,95.14,0.22,0.35,0.22,0,0.45,2.07,50.59,16.14,14.36,12.32,6.59
"Hanson County, South Dakota",Hanson County,SouthDakota,557,23.32,1793,75.08,38,1.59,3.50%,1.80%,33.90%,18.40%,21.20%,15.80%,5.30%,0.3503,"86,827","94,654",1125.56,3.06,3461,0.95,95.81,0.14,0.17,0,0,0.43,2.48,43.86,8.91,21.3,12.17,13.75
"Harding County, South Dakota",Harding County,SouthDakota,49,6.03,748,92,16,1.97,3.80%,2.10%,31.20%,28.90%,6.70%,23.40%,3.90%,0.436,"71,484","1,05,058",6919.33,0.17,1311,2.44,91.91,0.38,2.21,0,0,0.53,2.52,47.86,5.84,13.82,20.09,12.39
"Hughes County, South Dakota",Hughes County,SouthDakota,2953,33.85,5522,63.3,248,2.84,1.20%,2.10%,27.30%,21.00%,12.90%,24.80%,10.60%,0.3879,"83,750","89,752",1920.55,9.27,17765,2.76,79.29,0.47,11.64,0.72,0.02,0.29,4.82,48.74,16.61,19.95,7.14,7.56
"Hutchinson County, South Dakota",Hutchinson County,SouthDakota,762,20.23,2944,78.15,61,1.62,4.20%,3.80%,31.20%,21.20%,13.80%,19.30%,6.40%,0.4249,"69,139","87,737",2105.69,3.51,7427,2.11,94.37,0.12,1.18,0.28,0,0.23,1.7,40.31,14.89,18.65,13.44,12.71
"Hyde County, South Dakota",Hyde County,SouthDakota,136,19.15,564,79.44,10,1.41,2.80%,6.30%,31.20%,19.30%,19.90%,16.40%,3.90%,0.3675,"69,712","83,831",2229.02,0.59,1262,1.9,86.21,0.32,7.84,0.4,0.08,0.24,3.01,41.02,9.74,19.75,15.09,14.4
"Jackson County, South Dakota",Jackson County,SouthDakota,359,32.2,738,66.19,18,1.61,3.70%,9.20%,37.30%,21.00%,13.10%,11.40%,4.10%,0.5121,"26,078","45,670",4827.43,0.59,2806,2.17,37.24,0.39,53.78,0.25,0.11,0.14,5.92,52.42,18.64,15.38,3.27,10.29
"Jerauld County, South Dakota",Jerauld County,SouthDakota,270,26.84,721,71.67,15,1.49,3.60%,4.70%,45.80%,15.00%,14.00%,12.00%,4.90%,0.5324,"66,607","1,03,242",1362.68,1.35,1663,4.45,92.9,0,0.66,0.18,0,0,1.8,41.94,11.88,18.49,8.68,19.01
"Jones County, South Dakota",Jones County,SouthDakota,90,15.03,498,83.14,11,1.84,0.00%,5.10%,34.60%,16.40%,10.00%,25.80%,8.10%,0.3926,"61,250","79,336",2511.44,0.4,917,1.2,84.3,0.44,5.34,0,0,0.22,8.51,44.47,15.98,17.62,11.89,10.04
"Kingsbury County, South Dakota",Kingsbury County,SouthDakota,819,29.47,1904,68.51,56,2.02,4.60%,4.90%,37.50%,17.70%,12.30%,16.70%,6.30%,0.4498,"65,964","87,571",2155.48,2.4,5187,2.29,94.97,0.1,0.48,0.21,0.13,0.04,1.77,38.91,14.76,16.38,13.26,16.69
"Lake County, South Dakota",Lake County,SouthDakota,2068,35.21,3681,62.68,124,2.11,1.90%,4.80%,26.70%,21.30%,10.80%,24.90%,9.70%,0.4839,"74,884","1,05,315",1457.88,7.69,11059,5.48,89.06,0.77,1.03,0.6,0.1,0.25,2.71,36.84,15.72,21.71,12.56,13.16
"Lawrence County, South Dakota",Lawrence County,SouthDakota,4537,32.81,8753,63.3,538,3.89,1.90%,3.10%,26.50%,21.40%,10.40%,24.90%,11.80%,0.4716,"62,977","87,697",2072.13,12.57,25768,3.58,89.01,0.5,1.89,0.76,0.07,0.2,4,35.36,23.02,19.89,11.89,9.85
"Lincoln County, South Dakota",Lincoln County,SouthDakota,11981,36.98,19617,60.55,798,2.46,1.20%,2.70%,23.90%,17.10%,13.30%,28.40%,13.40%,0.4208,"92,317","1,19,547",1495.18,44.01,65161,2.58,89.79,1.71,0.66,1.52,0.01,0.24,3.48,46.59,14.18,21.54,6.46,11.23
"Lyman County, South Dakota",Lyman County,SouthDakota,525,32.87,1042,65.25,30,1.88,1.10%,7.40%,40.80%,20.50%,7.00%,16.90%,6.30%,0.4429,"60,284","74,735",4253.5,0.87,3718,1.21,51.51,0.08,43.76,0.11,0,0.03,3.31,40.46,18.06,20.23,13.73,7.51
